participant_id,condition,channel_set,epoch_index,alpha_power_8_12,n_channels
sub-015,EyesClosed,oz,2,-10.96126176177124,1
sub-015,EyesClosed,oz,3,-10.672748733346458,1
sub-015,EyesClosed,oz,4,-11.176997396459269,1
sub-015,EyesClosed,oz,5,-10.991930147619765,1
sub-015,EyesOpen,oz,0,-11.256468466801605,1
sub-015,EyesOpen,oz,1,-11.28896563606535,1
sub-015,EyesOpen,oz,2,-11.36912672824094,1
sub-015,EyesOpen,oz,3,-11.19800465606894,1
sub-015,EyesOpen,oz,4,-11.245142341827691,1
sub-015,EyesOpen,oz,5,-11.130443705974233,1
sub-016,EyesClosed,oz,0,-10.335171699109482,1
sub-016,EyesClosed,oz,1,-10.388696986021605,1
sub-016,EyesClosed,oz,2,-10.300432852933085,1
sub-016,EyesClosed,oz,3,-10.237601450829409,1
sub-016,EyesClosed,oz,4,-10.366484481680573,1
sub-016,EyesClosed,oz,5,-10.482809953596853,1
sub-016,EyesClosed,oz,6,-10.294050751359537,1
sub-016,EyesOpen,oz,0,-11.106624513492408,1
sub-016,EyesOpen,oz,1,-11.604059944245758,1
sub-016,EyesOpen,oz,2,-11.329681837153062,1
sub-016,EyesOpen,oz,3,-11.426523405947837,1
sub-016,EyesOpen,oz,4,-11.133929674973388,1
sub-016,EyesOpen,oz,5,-10.699210591387343,1
sub-017,EyesClosed,oz,0,-11.304237519099418,1
sub-017,EyesClosed,oz,1,-11.417850517556042,1
sub-017,EyesClosed,oz,2,-11.233664669813098,1
sub-017,EyesClosed,oz,3,-11.264164224045134,1
sub-017,EyesClosed,oz,4,-11.123968973336458,1
sub-017,EyesClosed,oz,5,-11.345542538419274,1
sub-017,EyesOpen,oz,0,-11.856961240430536,1
sub-017,EyesOpen,oz,1,-11.624436299167778,1
sub-017,EyesOpen,oz,2,-11.720981618306498,1
sub-017,EyesOpen,oz,3,-11.585007170189707,1
sub-017,EyesOpen,oz,4,-11.7551935858077,1
sub-017,EyesOpen,oz,5,-11.805613067774658,1
sub-018,EyesClosed,oz,0,-10.747482467056075,1
sub-018,EyesClosed,oz,1,-10.939749099644224,1
sub-018,EyesClosed,oz,2,-10.892400576555211,1
sub-018,EyesClosed,oz,3,-11.066155277749724,1
sub-018,EyesClosed,oz,4,-10.882342757905336,1
sub-018,EyesClosed,oz,5,-10.996883164329432,1
sub-018,EyesOpen,oz,0,-11.343457303381728,1
sub-018,EyesOpen,oz,1,-11.252191912775881,1
sub-018,EyesOpen,oz,2,-11.370791131940772,1
sub-018,EyesOpen,oz,3,-11.453719790386295,1
sub-018,EyesOpen,oz,4,-11.157461410011297,1
sub-018,EyesOpen,oz,5,-11.314830722376202,1
sub-019,EyesClosed,oz,0,-11.415666547505712,1
sub-019,EyesClosed,oz,1,-11.621468962383299,1
sub-019,EyesClosed,oz,2,-11.426771525937298,1
sub-019,EyesClosed,oz,3,-11.576085350177271,1
sub-019,EyesClosed,oz,4,-11.814403761676937,1
sub-019,EyesClosed,oz,5,-11.790750988679486,1
sub-019,EyesOpen,oz,0,-11.52680498352914,1
sub-019,EyesOpen,oz,1,-11.59832647108339,1
sub-019,EyesOpen,oz,2,-11.744583223328574,1
sub-019,EyesOpen,oz,3,-11.391032182971328,1
sub-019,EyesOpen,oz,4,-11.7386553826569,1
sub-019,EyesOpen,oz,5,-11.715866737528208,1
sub-020,EyesClosed,oz,0,-11.912997685780018,1
sub-020,EyesClosed,oz,1,-11.738930993170678,1
sub-020,EyesClosed,oz,2,-11.891677600365428,1
sub-020,EyesClosed,oz,3,-11.794542395746781,1
sub-020,EyesClosed,oz,4,-11.763383472148751,1
